Plot	Date	Precip1	Precip2	Precip3	Daylight	Air.Temp	GDD	S.GDD	C.GDD	Crop	Year	Stage	Type	Tillage	Moisture	nrfA.g	nirK.g	nirS.g	nosZI.g	nosZII.g
MP2R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	MP	0.195571956	279270.4725	9536261.266	5621909.917	2702161.387	28544400.17
MP3R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	MP	0.167938931	491678.8147	7347172.257	6347803.303	4552634.587	27644728.09
MP4R	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Rhiz	MP	0.191428571	785269.4488	13644313.43	8704710.247	6352788.41	43635909.89
NT1S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	NT	0.244444444	290706.8824	16656628.24	817128.5294	2426293.324	5954272.941
NT2S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	NT	0.243654822	3153970.793	2655441.007	2188876.255	418234.9664	20259022.54
NT3S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	NT	0.21192053	40317.76134	4663128.706	3946726.336	884599.8739	32953232.49
NT4S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	NT	0.16	83535	690173.8095	1882673.81	1000604.524	29255559.52
CD1S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	CD	0.23923445	214163.7459	7881245.409	6123447.623	1755614.459	33473129.79
CD2S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	CD	0.206751055	496752.2521	1611877.34	3093177.766	553802.1862	25581797.65
CD3S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	CD	0.205223881	28381.07418	9544841.39	7247769.352	592875.8911	55388548.96
CD4S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	CD	0.194842407	63261.40427	2337592.064	5785833.779	843273.6719	28313967.59
MP1S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	MP	0.211382114	114470.1402	1268051.381	5367167.134	2100971.115	34265332.39
MP2S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	MP	0.195571956	109140.8991	2773312.064	6425730.725	2275171.798	63071063.17
MP3S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	MP	0.167938931	276866.2165	4205876.385	5017720.642	3872707.09	42887063.63
MP4S	7.3.18	0	0	4.826	15.01	77	617	0	617	Corn	2018	Corn.V5	Bulk	MP	0.191428571	366800.2473	3585714.134	12380291.52	4815401.166	90729441.34
NT1R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	NT	0.175324675	555689.4772	5670214.52	4220424.567	9753928.557	38959067.94
NT2R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	NT	0.165829146	256655.3349	549304.7349	4065313.458	6114660.772	80679037.94
NT3R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	NT	0.176056338	1080568.783	5035936.547	6167827.043	12469174.86	49415347.04
NT4R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	NT	0.152631579	647672.9441	849413.2919	3539022.609	9596534.161	49200448.07
CD1R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	CD	0.192156863	502327.4709	2058610.049	9928454.709	8067913.063	66435632.77
CD2R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	CD	0.144385027	253618.0488	1637411.738	2947405.175	6200808.034	26032206.89
CD3R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	CD	0.148325359	361801.309	320512.0674	4874652.596	4729675.871	33801156.7
CD4R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	CD	0.121107266	403975.8055	482764.2598	7959130.543	6625684.543	46675154.35
MP1R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	MP	0.170506912	429213.7033	6277257.856	3884630.322	4441831.831	37520891.33
MP2R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	MP	0.168202765	254032.1019	1589497.95	4616545.762	3585808.505	40505758.59
MP3R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	MP	0.138728324	351470.5154	1399700.04	8126834.067	6101321.04	26249615.1
MP4R	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Rhiz	MP	0.161538462	926664.8073	6388746.239	3686375.413	10849138.31	14560431.74
NT1S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	NT	0.175324675	186311.8677	3909686.52	2049174.929	1774688.239	23086460.13
NT2S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	NT	0.165829146	522287.2482	2384358.06	1401082.277	4101986.281	25020938.93
NT3S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	NT	0.176056338	898404.8718	1221850.53	2431901.709	6187029.812	18923504.99
NT4S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	NT	0.152631579	563927.5528	6751481.242	1321597.516	6235621.093	35063610.19
CD1S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	CD	0.192156863	548641.6602	1953468.35	6215394.757	9090428.898	45475249.22
CD2S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	CD	0.144385027	317477.6138	3377421.025	2695083.738	7665643.081	40056617.84
CD3S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	CD	0.148325359	862503.5483	11275888.16	2045689.652	6614495.404	11874217.58
CD4S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	CD	0.121107266	705121.315	9649621.252	7344759.78	8148935.048	45566088.41
MP1S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	MP	0.170506912	148354.9433	4182132.5	1997147.444	1713882.878	31151637.53
MP2S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	MP	0.168202765	409581.549	12045572.62	2552521.108	3216294.894	28596187.87
MP3S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	MP	0.138728324	630629.353	4124874.993	5636398.054	4280063.192	32939734.09
MP4S	7.13.18	3.556	0.254	0	14.51	71	825	0	825	Corn	2018	Corn.V8	Bulk	MP	0.161538462	356948.7523	5294148.624	1641947.706	3243757.853	37029598.35
NT2R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	NT	0.295826057	459371.4427	5046292.946	4859515.231	17342903.87	27872962.64
NT3R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	NT	0.229072577	572580.2283	6761310.913	2291458.245	15672548.72	20203115.79
NT4R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	NT	0.193613009	205789.5303	12117559.08	3130700.308	20777184.9	43118322.11
CD2R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	CD	0.161590172	1462121.458	14029003.01	6205368.578	18913108.45	40558782.68
CD3R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	CD	0.20314447	324958.0258	6298466.671	16511723.26	26613481.6	44136391.92
CD4R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	CD	0.163793119	622132.6468	4175119.914	6262352.201	12919290.97	14285986.25
MP2R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	MP	0.230744946	196708.2298	4666670.671	6442833.196	7454274.844	23771777.51
MP3R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	MP	0.163323299	284030.1393	4298871.947	8048982.348	14613137.64	28133626.72
MP4R	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Rhiz	MP	0.175190716	244305.2034	12295407.18	4521134.85	13943336.99	34780175.91
NT2S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	NT	0.295826057	353192.8475	5371942.599	1796800.369	10442467.06	13084082.55
NT3S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	NT	0.229072577	113931.6067	5485963.882	930414.4312	1777202.832	8560746.188
NT4S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	NT	0.193613009	508613.6121	3272756.172	2101214.454	11729216.51	38247358.11
CD2S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	CD	0.161590172	95949.25696	3348023.732	2640653.684	4120116.78	18065055.42
CD3S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	CD	0.20314447	136209.6338	5354052.067	3060248.573	3765998.585	19162276.49
CD4S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	CD	0.163793119	280950.5703	5164915.644	1795749.395	8252707.744	17155807.17
MP2S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	MP	0.230744946	502151.2668	10353140.95	15163095.69	23586587.44	19578863.88
MP3S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	MP	0.163323299	199653.462	5179429.513	6272793.292	10490634.66	24003352.75
MP4S	7.7.19	0	0.508	18.542	14.58	73	495	495	0	Soybean	2019	Soy.V2	Bulk	MP	0.175190716	164048.1049	3013954.919	2673519.857	5422537.652	13718468.27
NT2R	7.23.19	0	1.27	9.652	14.36	67	883	883	0	Soybean	2019	Soy.V3	Rhiz	NT	0.313694745	402770.3388	4071200.068	4591714.806	7616385.805	60735705.74
NT3R	7.23.19	1	1.27	9.652	14.36	68	883	883	0	Soybean	2019	Soy.V3	Rhiz	NT	0.276206852	167533.7772	16881480.61	2672876.919	19312264.61	30033420.53
NT4R	7.23.19	2	1.27	9.652	14.36	69	883	883	0	Soybean	2019	Soy.V3	Rhiz	NT	0.216021923	181746.9188	25887831.03	7205742.307	17784527.91	43535477.56
CD2R	7.23.19	3	1.27	9.652	14.36	70	883	883	0	Soybean	2019	Soy.V3	Rhiz	CD	0.187338057	107131.1395	4006632.804	10722411.79	22398750.86	60955725.1
CD3R	7.23.19	4	1.27	9.652	14.36	71	883	883	0	Soybean	2019	Soy.V3	Rhiz	CD	0.216250564	371268.6565	2669189.801	10217620.12	17763104.85	41283732.44
CD4R	7.23.19	5	1.27	9.652	14.36	72	883	883	0	Soybean	2019	Soy.V3	Rhiz	CD	0.312405413	592680.3492	22940666.34	25039240.16	55354147.79	72039246.56
MP2R	7.23.19	6	1.27	9.652	14.36	73	883	883	0	Soybean	2019	Soy.V3	Rhiz	MP	0.241865184	241467.0797	6617896.837	14386887.1	21525778.6	68138097.49
MP3R	7.23.19	7	1.27	9.652	14.36	74	883	883	0	Soybean	2019	Soy.V3	Rhiz	MP	0.215758673	193721.7472	3234723.693	9161707.955	13885393.22	34282156.64
MP4R	7.23.19	8	1.27	9.652	14.36	75	883	883	0	Soybean	2019	Soy.V3	Rhiz	MP	0.23162234	442513.1259	12143000.1	15100738.36	27550286.94	63496807.06
NT2S	7.23.19	9	1.27	9.652	14.36	76	883	883	0	Soybean	2019	Soy.V3	Bulk	NT	0.313694745	545241.3447	10693696.35	6709116.633	22362607.45	61357137.67
NT3S	7.23.19	10	1.27	9.652	14.36	77	883	883	0	Soybean	2019	Soy.V3	Bulk	NT	0.276206852	516161.5593	12914325.07	7234359.724	20429852.97	53850147.79
NT4S	7.23.19	11	1.27	9.652	14.36	78	883	883	0	Soybean	2019	Soy.V3	Bulk	NT	0.216021923	138546.221	7939619.971	3129516.081	5669418.735	18737052
CD2S	7.23.19	12	1.27	9.652	14.36	79	883	883	0	Soybean	2019	Soy.V3	Bulk	CD	0.187338057	155319.1965	4839269.309	6163765.933	6831865.14	34118159.75
CD3S	7.23.19	13	1.27	9.652	14.36	80	883	883	0	Soybean	2019	Soy.V3	Bulk	CD	0.216250564	301592.5617	4634432.683	6211041.155	13249653.69	49559147.65
CD4S	7.23.19	14	1.27	9.652	14.36	81	883	883	0	Soybean	2019	Soy.V3	Bulk	CD	0.312405413	80479.982	4750238.092	2964680.115	7613705.369	70230160.19
MP2S	7.23.19	15	1.27	9.652	14.36	82	883	883	0	Soybean	2019	Soy.V3	Bulk	MP	0.241865184	98505.17142	3744674.351	8049721.332	4081995.095	68892580.72
MP3S	7.23.19	16	1.27	9.652	14.36	83	883	883	0	Soybean	2019	Soy.V3	Bulk	MP	0.215758673	123124.3454	19442398	4572911.269	17657509.15	45591611.65
MP4S	7.23.19	17	1.27	9.652	14.36	84	883	883	0	Soybean	2019	Soy.V3	Bulk	MP	0.23162234	133314.131	7607056.149	8353910.242	9354377.383	49010815.88
NT2R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	NT	0.195493301	165935.4734	8910014.059	4043332.397	143222168	21918432.77
NT3R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	NT	0.17979555	719635.2082	36337181.55	8704339.512	28780662.44	50511735.23
NT4R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	NT	0.149675899	163999.5853	10871998.08	2183426.292	19813115.46	18113803.87
CD2R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	CD	0.091727631	469214.5379	26523629.71	6920904.14	221637466.9	43490132.85
CD3R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	CD	0.128323699	214677.6273	15794404.4	17917603.12	24057486.23	24957459.54
CD4R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	CD	0.135072464	230396.8733	10446001.11	10474292.49	118391977.5	30850226.04
MP2R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	MP	0.171377029	79809.27678	8582228.894	5393835.507	16399414.07	26889244.92
MP3R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	MP	0.171290712	174782.402	17397155.07	8357097.112	13148753.07	12274885.95
MP4R	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Rhiz	MP	0.139616056	1782563.483	18153025.87	10932654.04	52351366.28	55550490.37
NT2S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	NT	0.195493301	383040.44	5273484.987	4772350.565	18195995.16	81406762.76
NT3S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	NT	0.17979555	736348.8459	5387878.597	5091742.676	12829123.28	39445062.76
NT4S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	NT	0.149675899	847587.8772	5726912.823	5204989.477	8762793.843	34614432.25
CD2S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	CD	0.091727631	92188.6461	2690243.679	4338253.737	4074489.686	38769108.47
CD3S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	CD	0.128323699	307127.313	5522160	5392320.517	9419488.168	26176836.5
CD4S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	CD	0.135072464	433617.366	5907694.906	8115239.377	10205817.98	21130641.86
MP2S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	MP	0.171377029	212019.9491	4589163.148	8005648.209	8030017.555	56024136.01
MP3S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	MP	0.171290712	580075.7959	3766546.416	8099795.785	14400678.95	15641079.67
MP4S	7.31.19	0	0	0	14.22	72	1059	1059	0	Soybean	2019	Soy.R1	Bulk	MP	0.139616056	7232829.764	4410307.777	7564253.197	19084503.04	25967774.22
